drug_id,drug_name
D01451,Scopolamine butylbromide; Butylscopolamine bromide; Buscopan
D01452,Isopropyl unoprostone; Unoprostone isopropyl; Rescula
D01453,Caffeine hydrate; Caffeine monohydrate; Caffeine
D01454,Bupranolol hydrochloride
D01455,Cifenline succinate; Cibenzoline succinate; Cibenol; Cipralan
D01456,Tetragastrin
D01457,Cycotiamine hydrochloride
D01458,Variotin; Pecilocin
D01459,Mesna; Mesnex; Uromitexan
D01460,Homochlorcyclizine hydrochloride; Homochlorcyclizine dihydrochloride; SA 97 dihydrochloride; Homoclomin
D01461,Bolandiol dipropionate
D01462,Lisuride maleate
D01463,Diponium bromide; Dipenine bromide
D01464,Flumethasone pivalate; Flumetasone pivalate; Locorten
D01465,Nizofenone fumarate; Ekonal
D01466,Ethenzamide; Ethenzamide
D01467,Roxatidine acetate hydrochloride; Altat
D01468,Nemonapride; Emilace
D01469,Amosulalol hydrochloride; Lowgan
D01470,Phenylpropanol
D01471,Esatenolol;-Atenolol
D01472,Tacalcitol hydrate; Bonalfa high; Curatoderm
D01473,Flomoxef sodium; S 6315; Flumarin
D01474,Iodixanol; Visipaque
D01475,Flurbiprofen axetil; FP 83; Ropion
D01476,Nandrolone cyclohexylpropionate; Sanabolicum
D01477,Opipramol hydrochloride; Insidon
D01478,Ebastine; Kestine
D01479,Ambroxol hydrochloride; Hustless
D01480,Isoconazole nitrate; Adestan-G
D01481,Dihydrocodeine phosphate; Dihydro
D01482,Pipamperone hydrochloride
D01483,Fominoben hydrochloride; Noleptan
D01484,Tinoridine hydrochloride
D01485,Propericiazine; Periciazine; Neuleptil
D01486,Rolitetracycline nitrate
D01487,Spiclomazine hydrochloride
D01488,Calcium glycerophosphate; Calcium beta-glycerophosphate; Calcium glycerophosphate
D01489,Sulbenicillin sodium; Lilacillin
D01490,Isoaminile citrate
D01491,Butropium bromide; Coliopan
D01492,Bucumolol hydrochloride
D01493,Nitrogen mustard N-oxide hydrochloride
D01494,Paraformaldehyde; Hyperband
D01495,Tipepidine hibenzate; Asverin
D01496,Oxymetebanol; Drotebanol; Metebanyl
D01497,Improsulfan tosilate
D01498,Butoctamide semisuccinate; Butoctamide hydrogen succinate; Listomin S
D01499,Pivmecillinam hydrochloride; Melysin
D01500,Trimebutine maleate; Cerekinon
D01501,Isoniazid calcium pyruvinate; Pyruvic acid calcium isoniazid
D01502,Silver diammine fluoride; Saforide
D01503,Antimony sodium tartrate; Stibnal
D01504,Bufetolol hydrochloride; Adobiol
D01505,Talipexole hydrochloride; Domin
D01506,Dimemorfan phosphate; Astomin
D01507,Tolperisone hydrochloride; Muscalm
D01508,Phenylacetylglycine dimethylamide
D01509,Bisdequalinium diacetate
D01510,Dexamethasone metasulfobenzoate sodium; Dexamethazone metasulfobenzoate sodium; Dexapos; Santeson
D01511,d.d-T-Cyphenothrin
D01512,Befunolol hydrochloride; Bentos
D01513,Alminoprofen; Minalfen
D01514,Etizolam; Sedekopan
D01515,Iproheptine Hydrochloride
D01516,Tretinoin tocoferil; Tocoretinate
D01517,Ceftezole sodium; Celoslin; Falomesin
D01518,Alfacalcidol; Alsiodol
D01519,Ethyl piperidinoacetylaminobenzoate; Ethyl p-(2-piperidinoacetamido)benzoate; Nichicaine; Sulcain
D01520,Levomepromazine hydrochloride; Nozinan
D01521,Pipethanate hydrochloride; Glymor
D01522,Tiapride hydrochloride; Gramalil
D01523,Arbekacin sulfate; Habekacin
D01524,Alloclamide hydrochloride
D01525,Carbazochrome sodium sulfonate hydrate; Auzei
D01526,Sulfisomidine; Sulfaisodimidine; Sulfisomidine
D01527,Epidihydrocholesterin; Dihydrin
D01528,Cefroxadine; Cefthan-DS
D01529,Gefarnate; Gefanil
D01530,Tocopherol nicotinate; dl-alpha-Tocopherol nicotinate; Juvela nicotinate
D01531,Pipemidic acid hydrate; Karunomazin
D01532,Bevonium methylsulfate; Bevonium metilsulfate; Bevonium methyl sulfate
D01533,Mestanolone; Mesanolon
D01534,Dromostanolone propionate; Drostanolone propionate; Drolban; Masteron
D01535,Sizofiran; Sonifilan
D01536,Hypromellose phthtalate; Hydroxypropylmethylcellulose phthalate; HP 55
D01537,Xaliproden hydrochloride; SR 57746A
D01538,Valethamate bromide; Shinmetane
D01539,Laureth 4; Laureth 9; Thesit; Brij 30
D01540,Dimeticone; Dimethicone; Dimethylpolysiloxane; Sentry dimethicone
D01541,Cellacefate; Cellulose acetate phthalate
D01542,Polyoxyl 8 stearate; Macrogol ester; Polyoxyl stearate; Polyoxyl 40 stearate; Polyoxyl 50 stearate; Myrj 52
D01543,Nylidrin hydrochloride; Buphenine hydrochloride; Arlidin
D01544,Carboxymethylcellulose sodium; Carmellose sodium; C.M.C.; Celluvisc
D01545,Aceclofenac; Aceclofenac
D01546,Dothiepin hydrochloride; Dosulepin hydrochloride; Dosulepin
D01547,Zaltoprofen; CN 100; Peon
D01548,Mosapramine hydrochloride; Cremin
D01549,Imidapril hydrochloride; Tanatril
D01550,Liranaftate; Zefnart
D01551,Beraprost sodium; Procylin
D01552,Edaravone; Radicava; Radicut
D01553,Manidipine hydrochloride; Manidipine dihydrochloride; Calslot
D01554,Pilsicainide hydrochloride hydrate; Pilsicainide hydrochloride; SUN 1165; Sunrythm
D01555,Ioversol; Optiray
D01556,Trimethylcetylammonium pentachlorophenate; Cetrimonium pentachlorophenete
D01557,Glycol salicylate; Ethylene glycol salicylate; Norgesic; Phlogont
D01558,1-Naphthylacetic acid; alpha-Naphthylacetic acid
D01559,"Ethyl L-cysteine hydrochloride; L-Cysteine, ethyl ester, hydrochloride; Daiace"
D01560,Carumonam sodium; CRMN; Amasulin
D01561,Potassium bitartrate; Potassium hydrogen tartrate
D01562,Aranidipine; Sapresta
D01563,Indigotindisulfonate sodium; Indigocarmine; Indigo carmine
D01564,Rilmazafone hydrochloride hydrate; Rilmazafone hydrochloride dihydrate; Rilmazafone hydrochloride; Rhythmy
D01565,Indometacin farnesil; Infree
D01566,Gusperimus trihydrochloride; Gusperimus hydrochloride; Spanidin
D01567,Ketophenylbutazone; Kebuzone
D01568,Cefpimizole sodium; Ajicef
D01569,Cloperastine fendizoate; Hustazol
D01570,Iofetamine hydrochloride I 123; N-Isopropyl-p-iodoamphetamine hydrochloride; Spectamine
D01571,Moxisylyte hydrochloride; Opilon
D01572,Pralidoxime iodide; Pam
D01573,Etilefrine hydrochloride; Etilefrine hydrochloride
D01574,Methyl L-cysteine hydrochloride; Mecysteine hydrochloride; L-Methylcysteine hydrochloride; Visclair
D01575,Dequalinium chloride; Nordman
D01576,Oxeladin citrate
D01577,Bronopol
D01578,Pranoprofen; Elicapric
D01579,Osalmid
D01580,Lynestrenol
D01581,Flufenamic acid; Arlef
D01582,Acemetacin; Rantudil
D01583,Pirfenidone; Esbriet
D01584,Anetholtrithion; Athenentol
D01585,Exalamide
D01586,Diethylaminoethyl diphenylhydroxypropionate hydrochloride
D01587,Tricaprilin
D01588,Domiphen bromide; Oradol
D01589,Mabuterol hydrochloride; Broncholin
D01590,Ethyl linoleate
D01591,Ethyl 4-nitrophenyl ethylphosphonate; p-Nitrophenyl-o-ethyl ethylphosphonate
D01592,Betahistine mesilate; Suzutolon
D01593,Nimetazepam; Erimin
D01594,Bendazac; Iwazac
D01595,Phenyliodoundecynoate
D01596,Oxytetracycline hydrochloride; Terramycin
D01597,Clothiapine; Clotiapine; Entumin
D01598,Calcium L-aspartate hydrate; Calcium L-aspartate; Aspara-CA
D01599,Gliclazide; Glimicron
D01600,Diphenylpiperidinomethyldioxolan iodide; Anacolin; Gastrophyllin-A
D01601,Acetylsulfamethoxazole
D01602,Mepitiostane; Thioderon
D01603,Bethanidine sulfate; Tenathan
D01604,Efonidipine hydrochloride ethanolate; Efonidipine hydrochloride ethanol; Efonidipine hydrochloride; NZ 105 ethanolate; Landel
D01605,Meticrane; Arresten
D01606,Trimetazidine hydrochloride; Kyurinett
D01607,Dimorpholamine; Theraptique
D01608,Clobutinol Hydrochloride; Silomat
D01609,Cloperastine Hydrochloride; Hustazol
D01610,Potassium guaiacolsulfonate; Sulfogaiacol
D01611,Polaprezinc; Promac
D01612,Sodium picosulfate hydrate; Laxoberal; Laxoberon
D01613,Azasetron hydrochloride; Serotone
D01614,Acetylkitasamycin; Neo-leucomycin H
D01615,Dexamethasone palmitate; Dexamethasone 21-palmitate; Limethason
D01616,Sodium prasterone sulfate hydrate; Mylis
D01617,Estradiol dipropionate; Ovahormon
D01618,Neomycin sulfate; Fradiomycin sulfate; Mycifradin; Neo-fradin; Sofratulle
D01619,Hydrocortisone butyrate; Locoid
D01620,Neticonazole hydrochloride; Atolant
D01621,Retinol acetate
D01622,Riboflavin sodium phosphate; Infuvite
D01623,Ferrotrenine
D01624,Sarpogrelate hydrochloride; Anplag
D01625,Sodium glucuronate hydrate; Sodium glucuronate; Guronsan
D01626,Propagermanium; Serocion
D01627,Diphenylpyraline teoclate; Piprinhydrinate; Plokon
D01628,Cefditoren pivoxil; Meiact; Spectracef
D01629,Cefetamet pivoxil hydrochloride; Cefyl
D01630,Propentofylline
D01631,Pentagastrin; Peptavlon
D01632,Dexamethasone dipropionate; Dexamethasone propionate; Hifmeta
D01633,Enocitabine; Sunrabin
D01634,Piretanide; Arelix
D01635,Methoxyphenamine hydrochloride; Phenamine
D01636,Midecamycin acetate; Miocamycin; Miocamycin
D01637,Betamethasone dipropionate; Diprolene; Rinderon-DP; Sernivo
D01638,Afloqualone; Airomate
D01639,Tibolone
D01640,Tocamphyl
D01641,Hexestrol
D01642,Bismuth subnitrate; Mammol
D01643,Aluminoparaaminosalicylate calcium hydrate; Aluminoparaaminosalicylate calcium pentahydrate; Aluminoparaaminosalicylate calcium; Alumino nippas calcium
D01644,Ferric ammonium citrate; Ferriseltz
D01645,Gadodiamide hydrate; Omniscan
D01646,Gadoversetamide; Optimark
D01647,Ethyl parahydroxybenzoate; Ethylparaben; Ethyl parahydroxybenzoate
D01648,Hyoscyamine methylbromide
D01649,Propicillin potassium
D01650,Proxazole citrate; Toness
D01651,Ancitabine hydrochloride
D01652,Apafant
D01653,Benserazide hydrochloride
D01654,Bepotastine besylate; Bepotastine besilate; Bepreve; Talion
D01655,Adefovir dipivoxil; Adefovir pivoxil; Hepsera
D01656,Brovincamine fumarate; Sabromin
D01657,Lormetazepam; Loramet
D01658,Irsogladine maleate; Gaslon N
D01659,Syrosingopine; Siringina
D01660,Aceglutamide aluminum; Glumal
D01661,Bucolome; Paramidin
D01662,Falecalcitriol; Hornel
D01663,Quinine ethylcarbonate; Quinine ethylcarbonate
D01664,Omoconazole nitrate
D01665,Voglibose; Basen
D01666,Bropirimine
D01667,Delapril hydrochloride; Adecut
D01668,Sultamicillin tosilate hydrate; Sultamicillin tosylate dihydrate; Unasyn
D01669,Tazanolast; Tazanol
D01670,Nafamostat mesylate; Nafamostat mesilate; Ronastat
D01671,Eperisone hydrochloride; Epenard
D01672,Gabexate mesilate; Gabexate mesylate; Arodate
D01673,Bamethan sulfate
D01674,Naftopidil; Flivas
D01675,Felbinac; Dolinac; Felbinac
D01676,Acetomenaphtone
D01677,beta-Butoxyethyl nicotinate; Nicoboxil
D01678,Thioinosine; 6-Mercaptopurine riboside
D01679,Lime; Calcium oxide
D01680,Cefcapene pivoxil hydrochloride hydrate; S 1108; Flomox
D01681,Cefovecin sodium
D01682,Ceftiofur sodium; Ceftiofur sodium
D01683,Ozagrel hydrochloride hydrate; Ozagrel hydrochloride; Ozagrel
D01684,Ozagrel sodium; Ozapen
D01685,Cetrorelix acetate; Cetrotide
D01686,Cefteram pivoxil; T 2588; Tomiron
D01687,Cefuzonam sodium
D01688,Epalrestat; Kinedak
D01689,Loteprednol etabonate; Lotemax
D01690,Vesnarinone; Arkin Z
D01691,Nipradilol; Hypadil
D01692,Alfuzosin hydrochloride; Uroxatral
D01693,Dehydrocholic acid; Purified dehydrocholic acid; Decholin
D01694,Pantothenyl ethylether; Pantothenyl ethyl ether
D01695,Lentinan; Lentinan
D01696,Lenampicillin hydrochloride; Kbt 1585; Valacillin
D01697,Colforsin daropate hydrochloride; Nkh 477; Adehl
D01698,Dalcotidine; KU 1257
D01699,Darifenacin hydrobromide; Enablex
D01700,Dibunate sodium; Sodium dibunate
D01701,Difeterol hydrochloride
D01702,Dimazole dihydrochloride; Asterol
D01703,Ciclesonide; Alvesco; Omnaris; Zetonna
D01704,Cilomilast; Ariflo
D01705,Clemizole hydrochloride; Allercur; Reactrol
D01706,Migrenin; Migrenin
D01707,Gadopentetate dimeglumine; Magnevist
D01708,Fluticasone propionate; Cutivate; Flonase; Flovent
D01709,Loxoprofen sodium hydrate; Lorfenamin; Loxonin
D01710,Roxithromycin; Rulide
D01711,Sodium hypochlorite; Texant
D01712,Theophylline sodium acetate
D01713,Epinastine hydrochloride; Alesion; Elestat
D01714,Iotrolan; Isovist 300
D01715,Risarestat; CT 112
D01716,Fleroxacin; Megalocin; Megalone
D01717,Levocabastine hydrochloride; Livostin
D01718,Mofezolac; Mofezolac
D01719,Iomeprol; Iomeron 300
D01720,Amorolfine hydrochloride; Pekiron
D01721,Pentaerythritol tetranitrate; Pentaerithrityl tetranitrate; Pentritol tempules
D01722,Romurtide; Nopia
D01723,Calcium bromide; Brocal
D01724,"Alum, potassium; Aluminum potassium sulfate hydrate; Aluminum potassium sulfate"
D01725,Ferrous sulfate; Ferrous sulfate hydrate; Tetucur-S
D01726,Potassium sulfate
D01727,Chlorinated lime; Calcium hypochlorite
D01728,Gypsum; Gypsum fibrosum
D01729,3-Iodobenzylguanidine; m-Iodobenzylguanidine-123I; MyoMIBG-I 123
D01730,Silver nitrate; Silver nitrate
D01731,Potassium bromide; Potassium bromide
D01732,"Anhydous sodium sulfate; Sodium sulfate, dried; Sodium sulfate, dried"
D01733,Anecortave acetate
D01734,Sorivudine; Bravavir
D01735,Tocopherol acetate; Vectan
D01736,Cefbuperazone sodium; Keiperazon
D01737,Nandrolone furylpropionate
D01738,Perflutren; Definity
D01739,Cefmenoxime hydrochloride; Bestcall
D01740,Barbital; Barbital
D01741,Celiprolol hydrochloride; Selectol
D01742,Clebopride malate; Clast
D01743,Halopredone acetate; Haloart
D01744,Brotizolam; Lendormin
D01745,Domperidone; Motilium
D01746,Menfegol
D01747,Idarubicin hydrochloride; Idamycin
D01748,Isoxsuprine hydrochloride; Duvadilan
D01749,Urea C13; Urea; Helicosol
D01750,Idebenone; Raxone
D01751,Fenipentol
D01752,Besigomsin
D01753,Dibekacin sulfate; Panimycin
D01754,Niceritrol; Perycit
D01755,Propyliodone; Dionosil oily
D01756,Trolnitrate phosphate; Nitretamin
D01757,Bismuth subcarbonate; Bismuth subcarbonate
D01758,Haloxazolam; Somelin
D01759,Acamylophenine hydrochloride; Camylophenine dihydrochloride
D01760,Ranimustine; Cymerin
D01761,Ioxaglic acid; Hexabrix 320
D01762,Dipyrone; Sulpyrine hydrate; Metamizole sodium salt monohydrate; Sulpyrine
D01763,Broxuridine
D01764,Diflucortolone valerate; Afusona
D01765,Proglumetacin maleate; Miridacin
D01766,Camostat mesilate; Camostat mesylate; Camostat monomethanesulfonate; Foipan
D01767,Tenoxicam; Tilcotil
D01768,Benoxinate hydrochloride; Oxybuprocaine hydrochloride; Benoxil
D01769,Vindesine sulfate; Fildesin
D01770,Malotilate; Kantec
D01771,Proxyphylline; Monophyllin
D01772,Ether; Diethyl ether
D01773,Oxatomide; Celtect
D01774,Iodipamide; Adipiodone
D01775,Bifonazole; Mycospor
D01776,Antipyrine; Phenazone
D01778,Bromhexine hydrochloride; Bisolvon
D01779,Sodium acetate; Sodium acetate hydrate; Sodium acetate trihydrate; Sodium acetate
D01780,Sodium carbonate hydrate
D01781,Sodium citrate hydrate; Trisodium citrate dihydrate; Sodium citrate; Tricitrasol
D01782,Triprolidine hydrochloride; Triprolidine hydrochloride hydrate; Venen
D01783,Rolipram
D01784,Carmofur; Mifurol
D01785,Pirmenol hydrochloride hydrate; Pimenol
D01786,Mebhydrolin napadisilate
D01787,Sulthiame; Sultiame; Ospolot
D01788,Amfenac sodium; Amfenac sodium hydrate; Fenazox
D01789,Nicotinyl alcohol tartrate
D01790,Oxaliplatin; Eloxatin
D01791,Glucuronamide; beta-D-Glucopyranuronamide; Guronamin
D01792,"1,3,5-Trimethoxybenzene"
D01793,Bifemelane hydrochloride
D01794,Bopindolol malonate; Sandonorm
D01795,Tilisolol hydrochloride; Selecal
D01796,Meglumine
D01797,Iopamidol; Iopamiron; Isovue
D01798,Sapropterin dihydrochloride; Sapropterin hydrochloride; Biopten; Kuvan
D01799,Glyclopyramide; Deamelin-S
D01800,Glucuronolactone; Glucurolactone; Guronsan
D01801,Thonzylamine hydrochloride; Super anahist
D01802,Edetate disodium; Disodium edetate hydrate; Disodium edetate dihydrate; Endrate
D01803,Plaunotol; Kelnac
D01804,Cadralazine; Cadral
D01805,Aceglatone; Glucaron
D01806,Oxprenolol hydrochloride; Okuspurecol
D01807,Mebutamate; Capla; Dormate
D01808,Lobenzarit sodium; Lobenzarit disodium; Carfenil
D01809,Bucillamine; Bucilant
D01810,Nicorandil; Sigmart
D01811,Salicylamide; Salicylamide
D01812,Chromonar hydrochloride; Carbocromen hydrochloride
D01813,Inositol niacinate; Inositol nicotinate; Inositol hexanicotinate; Palohex
D01814,S-Hydroprene
D01815,Oxapium iodide; Espalexan
D01816,Diisopropylamine dichloroacetate; Liverall
D01817,Iohexol; Omnipaque
D01818,Proglumide; Nulsa
D01819,Cefotiam hydrochloride; Ceradon; Pansporin
D01820,Alclometasone dipropionate; Aclovate
D01821,Micronomicin sulfate; Sagamicin; Santemycin
D01822,Clofenamide
D01823,Ufenamate; Flufenamic acid butyl ester; Combec
D01824,Phenprobamate; Spantol
D01825,Fluocinolone acetonide; Fluocet; Retisert; Synalar
D01826,Isepamicin sulfate; Isepacin
D01827,Teprenone; Selbex
D01828,Amlexanox; Aphthasol; Solfa
D01829,Pentamycin; Fungchromin
D01830,Arotinolol hydrochloride; Almarl
D01831,Buserelin acetate; Suprecur
D01832,Modafinil; Provigil
D01833,Benziodarone; Amplivix
D01834,Doranidazole; RP 343
D01835,Clorprenaline hydrochloride
D01836,Doripenem hydrate; doripenem monohydrate; Doribax
D01837,Etifelmine hydrochloride; Tensinase D
D01838,Fabesetron hydrochloride
D01839,Faropenem sodium hydrate; Farom
D01840,Fasudil hydrochloride
D01841,Felbinac ethyl; LM 001
D01842,Fidarestat; SNK 860; Aldos
D01843,Fludeoxyglucose F 18; Fludeoxyglucose; 18DG; Fludeoxyglucose F 18
D01844,Fondaparinux sodium; Arixtra
D01845,Fudosteine; Cleanal
D01846,Gimeracil
D01847,Landiolol hydrochloride; ONO 1101 hydrochloride; Onoact
D01848,Lanperisone hydrochloride; NK 433
D01849,Lercanidipine hydrochloride; Cardiovasc
D01850,Meluadrine tartrate; HSR 81
D01851,Mepranoprofen arbamel; Y-23023
D01852,Milacainide tartrate
D01853,Miproxifene phosphate; Tat 59
D01854,Mitiglinide calcium hydrate; Mitiglinide calcium dihydrate; Glufast
D01855,Mozavaptane hydrochloride
D01856,Nifekalant hydrochloride; MS 551; Shinbit
D01857,Olanexidine hydrochloride; Olanexidine hydrochloride hydrate
D01858,Panazepide; Pranazepide; FK 480; FR 120480
D01859,Pentetreotide; Pentetoreotide
D01860,Perazine dimalonate
D01861,Pibutidine hydrochloride; IT 066
D01862,Pitavastatin calcium; NK 104; Livalo
D01863,Cefodizime sodium; Kenicef; Neucef
D01864,Carbazochrome
D01865,Pelubiprofen
D01866,Lornoxicam; Lorcam
D01867,Aluminum monostearate
D01868,Bekanamycin sulfate; AKM; Kanendomycin
D01869,Ornoprostil; Ronok
D01870,p-Hydroxypropiophenone; Paroxypropione
D01871,Methixene hydrochloride; Metixene hydrochloride; Methixene hydrochloride hydrete; Trest
D01872,Doxapram hydrochloride; Doxapram hydrochloride hydrate; Dopram
D01873,Terodiline hydrochloride
D01874,Vedaprofen
D01875,Tiquizium bromide; Thiaton
D01876,Pipradrol hydrochloride
D01877,Mefruside; Baycaron
D01878,Tolycaine hydrochloride
D01879,Eptazocine hydrobromide; Sedapain
D01880,Metrizoate sodium; Sodium metrizoate
D01881,Astromicin sulfate; Fortimicin
D01882,Hepronicate; Megrin
D01883,Aniracetam
D01884,Tyropanoate sodium; Sodium tyropanoate; Bilopaque
D01885,Pirarubicin; Therarubicin
D01886,Hydrocortisone probutate; Hydrocortisone butyrate propionate; Hydrocortisone buteprate; Pandel
D01887,Bunazosin hydrochloride; Detantol
D01888,Safrazine hydrochloride
D01889,Imiprothrin
D01890,Repirinast; Romet
D01891,Enprostil; Camleed
D01892,Icosapent ethyl; Ethyl icosapentate; Epadel S; Vascepa
D01893,Iopromide; Proscope; Ultravist
D01894,Rescimetol
D01895,Tripamide; Normonal
D01896,Cilostazol; Pletal
D01897,Rokitamycin; Ricamycin
D01898,Haloperidol decanoate; Halomonth
D01899,Carbenoxolone sodium
D01900,Alacepril; Cetapril
D01901,Xenon; Xenopure
D01902,Fonazine mesylate; Dimetotiazine mesilate; Banistyl
D01903,Docarpamine; Tanadopa
D01904,Cefpiramide sodium; CPM; Suncefal
D01905,Mercuric chloride
D01906,Dilevalol hydrochloride
D01907,Fludarabine phosphate; Fludara
D01908,Nilvadipine; Nivadil
D01909,Cefminox sodium hydrate; Meicelin
D01910,Iodoform; Iodoform
D01911,Aclarubicin hydrochloride; Aclacinon
D01912,Polidronium chloride
D01913,Riboflavin butyrate; Riboflavin tetrabutyrate; Hibon
D01914,Piracetam; Myocalm
D01915,Rosuvastatin calcium; ZD 4522; Crestor
D01916,Iodipamide meglumine; Cholografin meglumine
D01918,Sivelestat sodium; Sivelestat sodium hydrate; Sivelestat sodium for injection; Elaspol
D01919,Soblidotin
D01920,Tenatoprazole; TU 199
D01921,Estradiol and testosterone; Bothermon
D01922,Pratosartan; KD 3-671
D01923,Semduramicin sodium; UK 61689-2; Aviax
D01924,Stearyl alcohol
D01925,Taltirelin hydrate; Ceredist
D01926,Temiverine hydrochloride hydrate; Urespan
D01927,Calcium diiodostearate
D01928,Calcium linoleate
D01929,Tiotropium bromide hydrate; Tiotropium bromide monohydrate; Spiriva
D01930,Tirilazad mesilate; Tirilazad mesylate; Freedox
D01931,Titanium dioxide; Titanium oxide
D01932,Transfluthrin
D01933,Vatanidipine hydrochloride; AE 0047; Calbren
D01934,Colestilan chloride; Colestilan; Colestimide; Cholebine
D01935,Vinorelbine tartrate; Vinorelbine ditartrate; KW 2307; Navelbine
D01936,Gallium citrate Ga 67; Gallium citrate; Gallium citrate injection; Neoscan
D01937,Zanamivir hydrate; Relenza
D01938,Pyrithione zinc; Zinc pyrithione; Sebulon shampoo
D01939,Ziprasidone hydrochloride; Ziprasidone hydrochloride hydrate; Geodon
D01940,Meglumine sodium amidotrizoate; Meglumine diatrizoate and sodium diatrizoate; Urovision; Cystografin; MD 50
D01941,Poloxamer; Lutrol F
D01942,Chlorobutanol; Chloretone
D01943,Canrenoate potassium; Potassium canrenoate; Soldactone
D01944,Cinepazide maleate
D01945,Lead acetate; Lead acetate trihydrate; Lead acetate
D01946,Oxitropium bromide; Tersigan
D01947,Glyceryl monostearate
D01948,Dexamethasone valerate; Dexamethasone 17-valerate; DV-17; Voalla ointment
D01949,Cefaloglycin; Cephaloglycin anhdyous
D01950,Dimethylaminoethyl reserpilinate dihydrochloride; Paratensiol
D01951,Todralazine hydrochloride
D01952,L-Methylephedrine hydrochloride
D01953,Estradiol benzoate; Ovahormon
D01954,Sulfaphenazole; Sulphaphenazole; Sulfabid
D01955,Aclatonium napadisilate; Abovis
D01956,Sofalcone; Solon
D01957,Bemegride; Megibal
D01958,Indenolol hydrochloride
D01959,Tannic acid; Tannic acid
D01960,Cresol
D01961,Cefmatilen hydrochloride hydrate
D01962,Simetride
D01963,Ibufenac; Dytransin
D01964,Travoprost; Travatan
D01965,Silodosin; KMD 3213; Rapaflo; Urief
D01966,Ezetimibe; Zetia
D01967,p-Butylaminobenzoyldiethylaminoethyl hydrochloride; Diethylaminoethyl p-butylaminobenzoate hydrochloride; Calvital liquid; T cain
D01968,Zoledronic acid; Zoledronic acid hydrate; Zometa; Reclast
D01969,Gallopamil hydrochloride
D01970,Omapatrilat; BMS 186716
D01971,Reglitazar
D01972,Lanatoside C; Digilanogen C
D01973,Eletriptan hydrobromide; Relpax
D01974,Tilmacoxib
D01975,Fentiazac
D01976,N-Methylscopolamine methylsulfate; Daipin
D01977,Gefitinib; Iressa
D01978,Trimetoquinol hydrochloride; Tretoquinol; Inolin
D01979,Iodamide meglumine; Renovue-65
D01980,Luliconazole; Lulicon; Luzu
D01981,Ximelagatran; Exanta
D01982,Tenofovir disoproxil fumarate; Viread
D01983,Sevelamer hydrochloride; Renagel
D01984,Esomeprazole magnesium; Esomeprazole magnesium hydrate; Esomeprazole magnesium trihydrate; Nexium
D01985,Talaporfin sodium; Laserphyrin
D01986,Estriol tripropionate; Estriol
D01987,Pipethanate ethobromide; Panpurol
D01988,Metofluthrin
D01989,Estriol diacetate benzoate; Estriol benzoate diacetate; Holin
D01990,Clindamycin palmitate hydrochloride; Cleocin pediatric
D01991,Ecabet sodium hydrate; Ecabet sodium; Gastrom
D01992,Tandospirone citrate; SM 3997; Sediel
D01993,Polidocanol; Asclera; Aethoxysklerol; Varithena
D01994,Mosapride citrate hydrate; Mosapride citrate dihydrate; Gasmotin
D01995,Inosine pranobex; Isoprinosine
D01996,Tosufloxacin tosylate hydrate; Tosufloxacin tosilate; Ozex; Tosuxacin
D01997,Budralazine; Buterazine
D01998,Prednisolone farnesylate; PNF 21; Farnerate
D01999,Iothalamate meglumine; Meglumine iotalamate; Conray
D02000,Kitasamycin tartrate; Leucomycin tartrate
D02001,Sulfamonomethoxine sodium; Sulfamonomethoxine sodium monohydrate
D02002,Isoniazid sodium methanesulfonate hydrate; Isoniazid sodium methanesulfonate monohydrate; Isoniazid sodium methanesulfonate; IHMS; Neoiscotin
D02003,Nitroblue tetrazolium chloride; NBT
D02004,Apomorphine hydrochloride; Apomorphine hydrochloride hydrate; Apokyn; Ixense; Uprima
D02005,Cefsulodin sodium; Takesulin
D02006,Strontium chloride Sr 89; Strontium chloride; Metastron
D02007,Protirelin tartrate hydrate; Hirtonin
D02008,Tadalafil; Adcirca; Cialis; Zalutia
D02009,Erythromycin lactobionate; Erythrocin
D02010,Ferric gluconate; Ferric gluconate trihydrate
D02011,Flavin adenine dinucleotide sodium; FAD sodium; FAD
D02012,Dihydroxyaluminum aminoacetate; Alminium glycinate
D02013,Clemizole undecylate
D02014,Angiotensin II; Angiotensin II; Delivert
D02015,Diatrizoate meglumine; Cystografin; Hypaque; Reno; Urovist
D02016,Ramosetron hydrochloride; YM 060; Nasea; Irribow
D02017,Oxtriphylline; Choline theophyllinate; Choline theophylline; Theophyline and choline; Theocolin
D02018,Hexestrol diacetate
D02019,Magnesium sulfate hydrate and glucose; Magnesol
D02020,Mitobronitol
D02021,Secretin; Chirhostim; Secrepan
D02022,Prochlorperazine mesilate; Prochlorperazine dimethanesulfonate; Novamin
D02023,Tipepidine citrate
D02024,Fluorescein sodium; Floures
D02025,Technetium Tc 99m succimer; Technetium dimercaptosuccinic acid; DMSA kidney reagent; Nephroscan
D02026,Magnesium L-aspartate; Magnesium aspartate
D02027,Tranilast; Rizaben
D02028,Diammonium glycyrrhizinate
D02029,Technetium Tc 99m medronate; Technetium methylenediphosphonate; Tc-99m Mdp; AN-MDP
D02030,Levocarnitine chloride; L-cartin
D02031,Hydrocotarnine hydrochloride hydrate
D02032,Betamethasone butyrate propionate; Antebate
D02033,Aldioxa; Dihydroxyaluminum allantoinate; Ascomp; Isalon
D02034,Setiptiline maleate; Tecipul
D02035,Timiperone; Tolopelon
